x y lat lon sand clay color fractional coverage of grid by vegetation class (columns: 18 IGBP classes, sum to 1.0 per cell) -- ParFlow-CLM v3.15 (2026)
CLASSIC 2-LINE HEADER: drv_readvegtf skips exactly two lines; do NOT add banner comments here (they get read as data and crash CLM init)
12 4 38.698125 -106.949581 0.36 0.30 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
13 4 38.699270 -106.937823 0.37 0.28 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14 4 38.700415 -106.926064 0.37 0.27 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
15 4 38.701558 -106.914305 0.37 0.27 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 4 38.702699 -106.902545 0.41 0.21 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 4 38.703839 -106.890785 0.39 0.23 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 4 38.704978 -106.879025 0.39 0.24 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 4 38.706115 -106.867264 0.19 0.32 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20 4 38.707252 -106.855502 0.50 0.17 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
21 4 38.708386 -106.843740 0.41 0.19 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
22 4 38.709520 -106.831978 0.42 0.20 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
23 4 38.710652 -106.820216 0.40 0.23 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24 4 38.711783 -106.808452 0.68 0.09 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
25 4 38.712912 -106.796689 0.59 0.10 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
26 4 38.714040 -106.784925 0.52 0.12 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
27 4 38.715167 -106.773161 0.68 0.12 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28 4 38.716292 -106.761396 0.69 0.08 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 4 38.717416 -106.749630 0.69 0.08 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
30 4 38.718539 -106.737865 0.69 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 4 38.719660 -106.726099 0.69 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 4 38.720780 -106.714332 0.27 0.05 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 5 38.694610 -107.080383 0.43 0.15 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 5 38.695771 -107.068627 0.40 0.23 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 5 38.696930 -107.056872 0.38 0.26 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 5 38.698088 -107.045116 0.42 0.21 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 5 38.699244 -107.033359 0.34 0.25 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
6 5 38.700399 -107.021602 0.16 0.34 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
7 5 38.701553 -107.009844 0.17 0.34 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
8 5 38.702705 -106.998086 0.17 0.33 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
9 5 38.703856 -106.986328 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
10 5 38.705006 -106.974569 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
11 5 38.706155 -106.962810 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
12 5 38.707302 -106.951050 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
13 5 38.708447 -106.939290 0.38 0.27 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14 5 38.709592 -106.927530 0.39 0.24 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15 5 38.710735 -106.915769 0.37 0.28 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 5 38.711877 -106.904007 0.41 0.12 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 5 38.713017 -106.892246 0.37 0.28 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 5 38.714156 -106.880483 0.39 0.24 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
19 5 38.715293 -106.868721 0.14 0.35 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20 5 38.716430 -106.856958 0.42 0.21 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
21 5 38.717565 -106.845194 0.44 0.17 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
22 5 38.718698 -106.833430 0.41 0.20 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
23 5 38.719831 -106.821666 0.42 0.20 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24 5 38.720962 -106.809901 0.55 0.19 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
25 5 38.722091 -106.798136 0.66 0.15 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
26 5 38.723219 -106.786370 0.43 0.22 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
27 5 38.724346 -106.774604 0.69 0.08 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
28 5 38.725472 -106.762837 0.69 0.08 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 5 38.726596 -106.751070 0.69 0.08 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 5 38.727719 -106.739303 0.69 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 5 38.728840 -106.727535 0.69 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 5 38.729960 -106.715767 0.69 0.08 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 6 38.703785 -107.081871 0.37 0.28 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 6 38.704946 -107.070114 0.41 0.22 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 6 38.706105 -107.058356 0.41 0.22 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 6 38.707263 -107.046598 0.35 0.24 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 6 38.708420 -107.034840 0.19 0.33 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
6 6 38.709575 -107.023081 0.13 0.35 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
7 6 38.710729 -107.011322 0.15 0.34 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
8 6 38.711882 -106.999562 0.43 0.20 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
9 6 38.713033 -106.987802 0.37 0.27 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
