date,LE_W/m2,H_W/m2,Rn_W/m2,TA_degC,G_W/m2,et_mm_day_published
2017-10-02,73.5507054,70.74058653,64.25187397,,19.35171381,0.635224005
2017-10-03,45.91237124,75.62866065,123.2084645,,19.15921451,1.057398074
2017-10-04,24.77211411,41.5238936,89.80791775,9.005542415,18.93960624,0.855781951
2017-10-05,24.4733347,42.46314258,89.50431955,8.922023178,18.97290336,0.845460263
2017-10-06,26.29357721,47.08754437,60.65908233,4.481078114,19.16954094,0.908342691
2017-10-07,18.06338754,72.1493467,79.3918501,4.395093769,32.11278609,0.624021065
2017-10-08,22.60277791,67.06999166,96.81685493,5.787840749,18.91923816,0.780839669
2017-10-09,16.24233434,14.54398748,13.00321939,,19.29114438,0.444212583
2017-10-10,15.76312494,34.47404103,91.03443632,,19.68167781,0.385727008
2017-10-11,28.15866678,67.02994471,98.16835769,,20.4347924,0.607984009
2017-10-12,22.43246663,41.7436663,91.47581673,5.653361759,20.18005927,0.774956064
2017-10-13,20.62782628,59.36387826,90.86108515,5.364914697,20.50882885,0.712612631
2017-10-14,24.01589705,71.94367886,76.2601735,4.915218493,20.27507625,0.829657539
2017-10-15,14.17701048,47.83799672,81.59603209,0.263727766,19.79272344,0.489761578
2017-10-16,10.76898342,30.57619697,78.32559541,,20.59037208,0.310022713
2017-10-17,11.99149112,42.67358453,76.42697171,2.988389526,20.48195332,0.414260229
2017-10-18,9.778846693,51.63568434,73.87144205,3.494571205,20.64139391,0.337821813
2017-10-19,10.00725579,37.42123348,69.09183653,5.393340728,21.03430371,0.345712475
2017-10-20,15.1628304,45.85948666,82.77207461,,21.050457,0.501992146
2017-10-21,51.24338633,73.98269992,100.0506942,,21.18710738,0.958892635
2017-10-22,20.67109063,49.68925773,82.21994641,0.397417849,21.64220015,0.714107249
2017-10-23,24.81485012,69.03648799,74.11414879,6.210415088,21.46855273,0.857258317
2017-10-24,17.2515268,45.47891267,63.69736563,3.213005894,21.42423058,0.595974376
2017-10-25,12.35038538,40.89471907,71.49627939,2.650571542,21.33165825,0.426658655
2017-10-26,18.4296514,47.93927803,58.36772185,2.458814152,21.29399381,0.636674083
2017-10-27,15.115914,40.40566336,58.93752713,1.265583918,21.27388773,0.522197109
2017-10-28,15.02125587,37.5855755,49.64425689,3.576658347,21.21311619,0.518927032
2017-10-29,6.233472385,36.86782305,75.22315348,1.795521445,21.20562144,0.215342669
2017-10-30,9.041683815,32.87324027,52.91119038,,21.17608317,0.299340832
2017-10-31,33.82623202,-17.91712572,7.81327124,,21.14472192,0.827735066
2017-11-01,28.37247186,53.57871651,45.97688381,6.750752653,21.45652279,0.980160563
2017-11-02,15.6871217,31.96489528,51.42110082,3.608212029,22.44451871,0.541930154
2017-11-03,22.74170052,31.50548034,67.5807065,3.381563357,22.33176433,0.785638915
2017-11-04,26.92807726,-33.42368326,7.02150425,,22.10551929,0.465131123
2017-11-05,20.56029041,-2.954125796,30.8994302,4.334417733,22.10866965,0.710279525
2017-11-06,10.6308453,10.86908815,32.01711148,,21.98115479,0.336650519
2017-11-07,17.80496065,16.30046233,43.68123176,,22.10989146,0.563835619
2017-11-08,18.26612877,44.93680096,98.99445122,,21.92667917,0.3155125
2017-11-09,14.90332709,29.58770119,47.86452526,-1.67899359,13.8456675,0.514853043
2017-11-10,10.83957083,30.35178813,46.9966795,0.489566561,-10.9726382,0.374465782
2017-11-11,13.11583321,29.55545986,21.72115248,-0.032947319,-14.09998878,0.453101955
2017-11-12,8.207804763,28.19809633,37.81287182,-1.65556556,-10.30489923,0.283548313
2017-11-13,10.77893121,31.43222891,50.09256309,1.888022286,-9.200813938,0.372370914
2017-11-14,11.90028906,28.76026693,31.61291795,1.17751966,-9.155961823,0.411109546
2017-11-15,8.772642322,28.39289556,31.21456674,-0.892777662,-9.146229,0.303061294
2017-11-16,11.97944306,32.44173039,49.33226028,,-8.928973948,0.327626512
2017-11-17,32.66848859,-1.291926542,21.28387886,,-7.995240365,0.752381025
2017-11-18,24.3675543,-10.12023025,26.05123396,,-8.039613,0.491053473
2017-11-19,16.78436235,26.09606539,42.1386028,,-7.461291031,0.289917814
2017-11-20,8.750070707,9.097968649,19.13135628,-6.303012938,-6.883061448,0.302281531
2017-11-21,26.31187421,-10.65973509,16.94052015,,-6.691295198,0.605983189
2017-11-22,3.175551332,2.93049778,7.818349917,,-6.595880427,0.105132207
2017-11-23,6.020409487,15.25885092,17.68917156,,-6.405603667,0.190650312
2017-11-24,8.055092409,9.180835573,15.56060196,1.538460898,-6.218840792,0.278272685
2017-11-25,14.66222332,17.6108439,31.55675308,0.454547864,-6.07692099,0.506523829
2017-11-26,9.324785425,22.48940894,37.6321383,0.400108955,-6.146466385,0.32213573
2017-11-27,18.73176187,11.39957805,22.26499606,2.661645738,-6.533571208,0.647110846
2017-11-28,7.595508886,29.46014158,27.81144199,0.890711726,-6.597378635,0.262395829
2017-11-29,10.27127961,16.93322905,16.26498296,-2.134193144,-7.37013924,0.35483349
2017-11-30,9.875509218,27.65988612,25.97146796,-2.561285334,-11.41717429,0.341161134
2017-12-01,6.172634103,9.143047492,23.19322365,0.37446529,-8.877180531,0.213240938
2017-12-02,7.613421492,31.33466972,49.74325416,2.170774486,-3.33228774,0.263014641
2017-12-03,14.49635055,3.466796548,15.49664724,0.31237783,-5.47638351,0.500793558
2017-12-04,25.22281766,23.47326424,21.76740514,,-3.822693781,0.835045703
2017-12-05,12.24103126,51.62251233,31.60398304,,-10.99372686,0.229060481
2017-12-06,18.70046764,29.04834121,19.48746236,,-14.8067741,0.484522312
2017-12-07,14.39245362,13.6034631,1.297782969,-9.649145396,-16.54606377,0.497204315
2017-12-08,30.1653099,31.06848983,6.683590688,-1.649977879,-11.16088719,1.042096272
